name,street,street2,city,state,zip,price,link,rdi,CMRA,smarty_status,detail_status,usps_status,usps_address,usps_zip5,usps_zip4,usps_dpv_confirmation,usps_cmra,usps_business,usps_carrier_route,usps_raw
Happy Valley,13203 SE 172nd Ave,"STE 166,",Happy Valley,OR,97086,US$9.99/month,https://www.anytimemailbox.com/s/happy-valley-13203-se-172nd-avenue,Commercial,Y,matched,fetched,matched,"13203 SE 172ND AVE STE 166, HAPPY VALLEY, OR",97086,8738,Y,Y,,R059,"{""addressList"":[{""addressLine1"":""13203 SE 172ND AVE STE 166"",""carrierRoute"":""R059"",""checkDigit"":""9"",""city"":""HAPPY VALLEY"",""cmar"":""Y"",""countyName"":""CLACKAMAS"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""41"",""dpvConfirmation"":""Y"",""elot"":""0170"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""OR"",""zip4"":""8738"",""zip5"":""97086""}],""resultStatus"":""SUCCESS""}"
Hood River,2149 Cascade Ave Ste 106A,,Hood River,OR,97031,US$14.99/month,https://www.anytimemailbox.com/s/hood-river-2149-cascade-avenue,Commercial,Y,matched,fetched,matched,"2149 CASCADE AVE STE 106A, HOOD RIVER, OR",97031,1087,Y,Y,,C005,"{""addressList"":[{""addressLine1"":""2149 CASCADE AVE STE 106A"",""carrierRoute"":""C005"",""checkDigit"":""7"",""city"":""HOOD RIVER"",""cmar"":""Y"",""countyName"":""HOOD RIVER"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""61"",""dpvConfirmation"":""Y"",""elot"":""0102"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""OR"",""zip4"":""1087"",""zip5"":""97031""}],""resultStatus"":""SUCCESS""}"
Keizer,4472 River Rd N,,Keizer,OR,97303,US$9.99/month,https://www.anytimemailbox.com/s/keizer-4472-river-rd-n,Commercial,Y,matched,fetched,matched,"4472 RIVER RD N, KEIZER, OR",97303,5553,Y,Y,,C048,"{""addressList"":[{""addressLine1"":""4472 RIVER RD N"",""carrierRoute"":""C048"",""checkDigit"":""1"",""city"":""KEIZER"",""cmar"":""Y"",""countyName"":""MARION"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""72"",""dpvConfirmation"":""Y"",""elot"":""0053"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""OR"",""zip4"":""5553"",""zip5"":""97303""}],""resultStatus"":""SUCCESS""}"
Lake Oswego,3 Monroe Pkwy,Ste P,Lake Oswego,OR,97035,US$14.99/month,https://www.anytimemailbox.com/s/lake-oswego-3-monroe-pkwy,Commercial,Y,matched,fetched,matched,"3 MONROE PKWY STE P, LAKE OSWEGO, OR",97035,8899,Y,Y,,C015,"{""addressList"":[{""addressLine1"":""3 MONROE PKWY STE P"",""carrierRoute"":""C015"",""checkDigit"":""6"",""city"":""LAKE OSWEGO"",""cmar"":""Y"",""countyName"":""CLACKAMAS"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""88"",""dpvConfirmation"":""Y"",""elot"":""0047"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""OR"",""zip4"":""8899"",""zip5"":""97035""}],""resultStatus"":""SUCCESS""}"
Medford - Main St,122 E Main St,Suite 400-,Medford,OR,97501,US$39.99/month,https://www.anytimemailbox.com/s/medford-122-e-main-street,Commercial,N,matched,fetched,matched,"122 E MAIN ST STE 400-, MEDFORD, OR",97501,6004,S,N,,C002,"{""addressList"":[{""addressLine1"":""122 E MAIN ST STE 400-"",""carrierRoute"":""C002"",""checkDigit"":""4"",""city"":""MEDFORD"",""cmar"":""N"",""countyName"":""JACKSON"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""22"",""dpvConfirmation"":""S"",""elot"":""0206"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""OR"",""zip4"":""6004"",""zip5"":""97501""}],""resultStatus"":""SUCCESS""}"
Medford - Barnett Rd,2640 E Barnett Rd,Ste E,Medford,OR,97504,US$15.00/month,https://www.anytimemailbox.com/s/medford-2640-e-barnett-road,Commercial,Y,matched,fetched,matched,"2640 E BARNETT RD STE E, MEDFORD, OR",97504,4301,Y,Y,,C052,"{""addressList"":[{""addressLine1"":""2640 E BARNETT RD STE E"",""carrierRoute"":""C052"",""checkDigit"":""3"",""city"":""MEDFORD"",""cmar"":""Y"",""countyName"":""JACKSON"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""77"",""dpvConfirmation"":""Y"",""elot"":""0214"",""elotIndicator"":""D"",""recordType"":""H"",""state"":""OR"",""zip4"":""4301"",""zip5"":""97504""}],""resultStatus"":""SUCCESS""}"
Newport - 1st St,146 SE 1st St,,Newport,OR,97365,US$9.99/month,https://www.anytimemailbox.com/s/newport-146-se-1st-street,Commercial,Y,matched,fetched,matched,"146 SE 1ST ST, NEWPORT, OR",97365,4431,Y,Y,,C006,"{""addressList"":[{""addressLine1"":""146 SE 1ST ST"",""carrierRoute"":""C006"",""checkDigit"":""8"",""city"":""NEWPORT"",""cmar"":""Y"",""countyName"":""LINCOLN"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""46"",""dpvConfirmation"":""Y"",""elot"":""0076"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""OR"",""zip4"":""4431"",""zip5"":""97365""}],""resultStatus"":""SUCCESS""}"
Newport - Coast Hwy,2226 N Coast Hwy,,Newport,OR,97365,US$9.99/month,https://www.anytimemailbox.com/s/newport-2226-n-coast-hwy,Commercial,Y,matched,fetched,matched,"2226 N COAST HWY, NEWPORT, OR",97365,1708,Y,Y,,C008,"{""addressList"":[{""addressLine1"":""2226 N COAST HWY"",""carrierRoute"":""C008"",""checkDigit"":""6"",""city"":""NEWPORT"",""cmar"":""Y"",""countyName"":""LINCOLN"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""26"",""dpvConfirmation"":""Y"",""elot"":""0136"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""OR"",""zip4"":""1708"",""zip5"":""97365""}],""resultStatus"":""SUCCESS""}"
North Bend,2670 Broadway Ave,# B,North Bend,OR,97459,US$9.99/month,https://www.anytimemailbox.com/s/north-bend-2670-broadway-avenue,Commercial,Y,matched,fetched,matched,"2670 BROADWAY AVE PMB B, NORTH BEND, OR",97459,2214,Y,Y,,C006,"{""addressList"":[{""addressLine1"":""2670 BROADWAY AVE PMB B"",""carrierRoute"":""C006"",""checkDigit"":""0"",""city"":""NORTH BEND"",""cmar"":""Y"",""countyName"":""COOS"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""70"",""dpvConfirmation"":""Y"",""elot"":""0082"",""elotIndicator"":""A"",""pmbDesignator"":""PMB"",""pmbNumber"":""B"",""recordType"":""S"",""state"":""OR"",""zip4"":""2214"",""zip5"":""97459""}],""resultStatus"":""SUCCESS""}"
Portland - Vancouver Way,10350 N Vancouver Way,,Portland,OR,97217,US$9.99/month,https://www.anytimemailbox.com/s/portland-10350-n-vancouver-way,Commercial,Y,matched,fetched,matched,"10350 N VANCOUVER WAY, PORTLAND, OR",97217,7530,Y,Y,,C044,"{""addressList"":[{""addressLine1"":""10350 N VANCOUVER WAY"",""carrierRoute"":""C044"",""checkDigit"":""4"",""city"":""PORTLAND"",""cmar"":""Y"",""countyName"":""MULTNOMAH"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""50"",""dpvConfirmation"":""Y"",""elot"":""0139"",""elotIndicator"":""A"",""lacs"":""L"",""recordType"":""S"",""state"":""OR"",""zip4"":""7530"",""zip5"":""97217""}],""resultStatus"":""SUCCESS""}"
Portland - Division St,11918 SE Division Street,,Portland,OR,97266,US$9.99/month,https://www.anytimemailbox.com/s/portland-11918-se-division-street,Commercial,Y,matched,fetched,matched,"11918 SE DIVISION ST, PORTLAND, OR",97266,1037,Y,Y,,C022,"{""addressList"":[{""addressLine1"":""11918 SE DIVISION ST"",""carrierRoute"":""C022"",""checkDigit"":""0"",""city"":""PORTLAND"",""cmar"":""Y"",""countyName"":""MULTNOMAH"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""18"",""dpvConfirmation"":""Y"",""elot"":""0190"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""OR"",""zip4"":""1037"",""zip5"":""97266""}],""resultStatus"":""SUCCESS""}"
Portland - 42nd Ave,2000 NE 42nd Ave,Ste D,Portland,OR,97213,US$9.99/month,https://www.anytimemailbox.com/s/portland-2000-ne-42nd-avenue,Commercial,Y,matched,fetched,matched,"2000 NE 42ND AVE STE D, PORTLAND, OR",97213,1359,Y,Y,,C021,"{""addressList"":[{""addressLine1"":""2000 NE 42ND AVE STE D"",""carrierRoute"":""C021"",""checkDigit"":""7"",""city"":""PORTLAND"",""cmar"":""Y"",""countyName"":""MULTNOMAH"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""76"",""dpvConfirmation"":""Y"",""elot"":""0019"",""elotIndicator"":""A"",""recordType"":""H"",""state"":""OR"",""zip4"":""1359"",""zip5"":""97213""}],""resultStatus"":""SUCCESS""}"
Portland - Yeon Ave,3055 NW Yeon Ave,,Portland,OR,97210,US$9.99/month,https://www.anytimemailbox.com/s/portland-3055-nw-yeon-avenue,Commercial,Y,matched,fetched,matched,"3055 NW YEON AVE, PORTLAND, OR",97210,1519,Y,Y,,C024,"{""addressList"":[{""addressLine1"":""3055 NW YEON AVE"",""carrierRoute"":""C024"",""checkDigit"":""5"",""city"":""PORTLAND"",""cmar"":""Y"",""countyName"":""MULTNOMAH"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""55"",""dpvConfirmation"":""Y"",""elot"":""0199"",""elotIndicator"":""D"",""recordType"":""S"",""state"":""OR"",""zip4"":""1519"",""zip5"":""97210""}],""resultStatus"":""SUCCESS""}"
Portland - Hawthorne Blvd,3439 SE Hawthorne Blvd,,Portland,OR,97214,US$12.99/month,https://www.anytimemailbox.com/s/portland-3439-se-hawthorne-blvd,Commercial,Y,matched,fetched,matched,"3439 SE HAWTHORNE BLVD, PORTLAND, OR",97214,5048,Y,Y,,C058,"{""addressList"":[{""addressLine1"":""3439 SE HAWTHORNE BLVD"",""carrierRoute"":""C058"",""checkDigit"":""8"",""city"":""PORTLAND"",""cmar"":""Y"",""countyName"":""MULTNOMAH"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""39"",""dpvConfirmation"":""Y"",""elot"":""0191"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""OR"",""zip4"":""5048"",""zip5"":""97214""}],""resultStatus"":""SUCCESS""}"
Portland - King Rd,4230 SE King Rd,,Portland,OR,97222,US$16.99/month,https://www.anytimemailbox.com/s/portland-4230-se-king-road,Commercial,Y,matched,fetched,matched,"4230 SE KING RD, PORTLAND, OR",97222,5259,Y,Y,,C032,"{""addressList"":[{""addressLine1"":""4230 SE KING RD"",""carrierRoute"":""C032"",""checkDigit"":""4"",""city"":""PORTLAND"",""cmar"":""Y"",""countyName"":""CLACKAMAS"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""30"",""dpvConfirmation"":""Y"",""elot"":""0036"",""elotIndicator"":""A"",""recordType"":""S"",""state"":""OR"",""zip4"":""5259"",""zip5"":""97222""}],""resultStatus"":""SUCCESS""}"
Portland - Lombard St,4784 N Lombard St,Ste B,Portland,OR,97203,US$14.99/month,https://www.anytimemailbox.com/s/portland-4784-n-lombard-street,Commercial,Y,matched,fetched,matched,"4784 N LOMBARD ST PMB B, PORTLAND, OR",97203,4565,Y,Y,,C016,"{""addressList"":[{""addressLine1"":""4784 N LOMBARD ST PMB B"",""carrierRoute"":""C016"",""checkDigit"":""7"",""city"":""PORTLAND"",""cmar"":""Y"",""countyName"":""MULTNOMAH"",""defaultFlag"":"""",""defaultInd"":""E"",""deliveryPoint"":""84"",""dpvConfirmation"":""Y"",""elot"":""0200"",""elotIndicator"":""A"",""pmbDesignator"":""PMB"",""pmbNumber"":""B"",""recordType"":""S"",""state"":""OR"",""zip4"":""4565"",""zip5"":""97203""}],""resultStatus"":""SUCCESS""}"
